GOOGLE ADS KEYWORD AUDIT REPORT
========================================================================================================================

CRITICAL ISSUE: Keywords exceeding 35-character limit

Total ad groups analyzed: 1230
Invalid keywords (>35 chars): 317
Valid keywords (≤35 chars): 913
Percentage invalid: 25.8%

INVALID KEYWORDS (sorted by length):
------------------------------------------------------------------------------------------------------------------------
City                                     | Keyword                                                      | Length
------------------------------------------------------------------------------------------------------------------------
List of built-up areas in Wales by population | [man with a van near me] list of built-up areas in wales by population | 70 chars (OVER by 35)
"From Wikipedia, the free encyclopedia"  | [man with a van near me] "from wikipedia, the free encyclopedia" | 64 chars (OVER by 29)
List of standardised Welsh place-names   | [man with a van near me] list of standardised welsh place-names | 63 chars (OVER by 28)
Map of some cities and towns in Wales.   | [man with a van near me] map of some cities and towns in wales. | 63 chars (OVER by 28)
Welsh place names in other countries     | [man with a van near me] welsh place names in other countries | 61 chars (OVER by 26)
Bletchley and Fenny Stratford            | [man with a van near me] bletchley and fenny stratford       | 54 chars (OVER by 19)
TopABCDEFGHIJKLMNOPQRSTUVWXYZ            | [man with a van near me] topabcdefghijklmnopqrstuvwxyz       | 54 chars (OVER by 19)
South Kirkby and Moorthorpe              | [man with a van near me] south kirkby and moorthorpe         | 52 chars (OVER by 17)
Broadstairs and St Peter's               | [man with a van near me] broadstairs and st peter's          | 51 chars (OVER by 16)
Northleach with Eastington               | [man with a van near me] northleach with eastington          | 51 chars (OVER by 16)
Swanscombe and Greenhithe                | [man with a van near me] swanscombe and greenhithe           | 50 chars (OVER by 15)
"Newport, Pembrokeshire"                 | [man with a van near me] "newport, pembrokeshire"            | 49 chars (OVER by 14)
Elstree and Borehamwood                  | [man with a van near me] elstree and borehamwood             | 48 chars (OVER by 13)
List of cities in Wales                  | [man with a van near me] list of cities in wales             | 48 chars (OVER by 13)
List of towns in Europe                  | [man with a van near me] list of towns in europe             | 48 chars (OVER by 13)
Queenborough-in-Sheppey                  | [man with a van near me] queenborough-in-sheppey             | 48 chars (OVER by 13)
Wolverton and Greenleys                  | [man with a van near me] wolverton and greenleys             | 48 chars (OVER by 13)
Appleby-in-Westmorland                   | [man with a van near me] appleby-in-westmorland              | 47 chars (OVER by 12)
Letchworth Garden City                   | [man with a van near me] letchworth garden city              | 47 chars (OVER by 12)
List of towns in Wales                   | [man with a van near me] list of towns in wales              | 47 chars (OVER by 12)
Mablethorpe and Sutton                   | [man with a van near me] mablethorpe and sutton              | 47 chars (OVER by 12)
See alsoExternal links                   | [man with a van near me] see alsoexternal links              | 47 chars (OVER by 12)
Blackwater and Hawley                    | [man with a van near me] blackwater and hawley               | 46 chars (OVER by 11)
Harworth and Bircotes                    | [man with a van near me] harworth and bircotes               | 46 chars (OVER by 11)
Ollerton and Boughton                    | [man with a van near me] ollerton and boughton               | 46 chars (OVER by 11)
Royal Tunbridge Wells                    | [man with a van near me] royal tunbridge wells               | 46 chars (OVER by 11)
Royal Wootton Bassett                    | [man with a van near me] royal wootton bassett               | 46 chars (OVER by 11)
South Woodham Ferrers                    | [man with a van near me] south woodham ferrers               | 46 chars (OVER by 11)
Broughton-in-Furness                     | [man with a van near me] broughton-in-furness                | 45 chars (OVER by 10)
