Campaign,Ad Group,Keyword,Match Type,Max CPC
Man With A Van - Exact Match,Ashton-under-Lyne - Man With Van,[man and van ashton-under-lyne],Exact,
Man With A Van - Exact Match,Barmouth - Man With Van,[man and van barmouth],Exact,
Man With A Van - Exact Match,Tonbridge - Man With Van,[man and van tonbridge],Exact,
Man With A Van - Exact Match,Watford - Man With Van,[man and van watford],Exact,
Man With A Van - Exact Match,Guisborough - Man With Van,[man and van guisborough],Exact,
Man With A Van - Exact Match,Haywards Heath - Man With Van,[man and van haywards heath],Exact,
Man With A Van - Exact Match,List of cities in Wales - Man With Van,[man van list of cities in wales],Exact,
Man With A Van - Exact Match,Farnborough - Man With Van,[man and van farnborough],Exact,
Man With A Van - Exact Match,High Wycombe - Man With Van,[man and van high wycombe],Exact,
Man With A Van - Exact Match,Llanybydder - Man With Van,[man and van llanybydder],Exact,
Man With A Van - Exact Match,North Petherton - Man With Van,[man and van north petherton],Exact,
Man With A Van - Exact Match,Strood - Man With Van,[man and van strood],Exact,
Man With A Van - Exact Match,Small - Man With Van,[man and van small],Exact,
Man With A Van - Exact Match,St Helens - Man With Van,[man and van st helens],Exact,
Man With A Van - Exact Match,Winslow - Man With Van,[man and van winslow],Exact,
Man With A Van - Exact Match,Bedworth - Man With Van,[man and van bedworth],Exact,
Man With A Van - Exact Match,Cleethorpes - Man With Van,[man and van cleethorpes],Exact,
Man With A Van - Exact Match,Leyburn - Man With Van,[man and van leyburn],Exact,
Man With A Van - Exact Match,Menai Bridge - Man With Van,[man and van menai bridge],Exact,
Man With A Van - Exact Match,Earley - Man With Van,[man and van earley],Exact,
Man With A Van - Exact Match,Glynneath - Man With Van,[man and van glynneath],Exact,
Man With A Van - Exact Match,Nefyn - Man With Van,[man and van nefyn],Exact,
Man With A Van - Exact Match,Saffron Walden - Man With Van,[man and van saffron walden],Exact,
Man With A Van - Exact Match,Sherborne - Man With Van,[man and van sherborne],Exact,
Man With A Van - Exact Match,Whitland - Man With Van,[man and van whitland],Exact,
Man With A Van - Exact Match,Wokingham - Man With Van,[man and van wokingham],Exact,
Man With A Van - Exact Match,Redruth - Man With Van,[man and van redruth],Exact,
Man With A Van - Exact Match,Bathgate - Man With Van,[man and van bathgate],Exact,
Man With A Van - Exact Match,Inverness - Man With Van,[man and van inverness],Exact,
Man With A Van - Exact Match,Kirkby Stephen - Man With Van,[man and van kirkby stephen],Exact,
Man With A Van - Exact Match,Pateley Bridge - Man With Van,[man and van pateley bridge],Exact,
Man With A Van - Exact Match,Thornbury - Man With Van,[man and van thornbury],Exact,
Man With A Van - Exact Match,Tredegar - Man With Van,[man and van tredegar],Exact,
